Note,Octave,Frequency (Hz),Wavelength (cm)
C,0,16.35,2109.89
C_s,0,17.32,1991.47
D,0,18.35,1879.69
D_s,0,19.45,1774.2
E,0,20.6,1674.62
F,0,21.83,1580.63
F_s,0,23.12,1491.91
G,0,24.5,1408.18
G_s,0,25.96,1329.14
A,0,27.5,1254.55
A_,0,29.14,1184.13
B,0,30.87,1117.67
C,1,32.7,1054.94
C_s,1,34.65,995.73
D,1,36.71,939.85
D_s,1,38.89,887.1
E,1,41.2,837.31
F,1,43.65,790.31
F_s,1,46.25,745.96
G,1,49,704.09
G_s,1,51.91,664.57
A,1,55,627.27
A_,1,58.27,592.07
B,1,61.74,558.84
C,2,65.41,527.47
C_s,2,69.3,497.87
D,2,73.42,469.92
D_s,2,77.78,443.55
E,2,82.41,418.65
F,2,87.31,395.16
F_s,2,92.5,372.98
G,2,98,352.04
G_s,2,103.83,332.29
A,2,110,313.64
A_,2,116.54,296.03
B,2,123.47,279.42
C,3,130.81,263.74
C_s,3,138.59,248.93
D,3,146.83,234.96
D_s,3,155.56,221.77
E,3,164.81,209.33
F,3,174.61,197.58
F_s,3,185,186.49
G,3,196,176.02
G_s,3,207.65,166.14
A,3,220,156.82
A_,3,233.08,148.02
B,3,246.94,139.71
C,4,261.63,131.87
C_s,4,277.18,124.47
D,4,293.66,117.48
D_s,4,311.13,110.89
E,4,329.63,104.66
F,4,349.23,98.79
F_s,4,369.99,93.24
G,4,392,88.01
G_s,4,415.3,83.07
A,4,440,78.41
A_,4,466.16,74.01
B,4,493.88,69.85
C,5,523.25,65.93
C_s,5,554.37,62.23
D,5,587.33,58.74
D_s,5,622.25,55.44
E,5,659.25,52.33
F,5,698.46,49.39
F_s,5,739.99,46.62
G,5,783.99,44.01
G_s,5,830.61,41.54
A,5,880,39.2
A_,5,932.33,37
B,5,987.77,34.93
C,6,1046.5,32.97
C_s,6,1108.73,31.12
D,6,1174.66,29.37
D_s,6,1244.51,27.72
E,6,1318.51,26.17
F,6,1396.91,24.7
F_s,6,1479.98,23.31
G,6,1567.98,22
G_s,6,1661.22,20.77
A,6,1760,19.6
A_,6,1864.66,18.5
B,6,1975.53,17.46
C,7,2093,16.48
C_s,7,2217.46,15.56
D,7,2349.32,14.69
D_s,7,2489.02,13.86
E,7,2637.02,13.08
F,7,2793.83,12.35
F_s,7,2959.96,11.66
G,7,3135.96,11
G_s,7,3322.44,10.38
A,7,3520,9.8
A_,7,3729.31,9.25
B,7,3951.07,8.73
C,8,4186.01,8.24
C_s,8,4434.92,7.78
D,8,4698.63,7.34
D_s,8,4978.03,6.93
E,8,5274.04,6.54
F,8,5587.65,6.17
F_s,8,5919.91,5.83
G,8,6271.93,5.5
G_s,8,6644.88,5.19
A,8,7040,4.9
A_,8,7458.62,4.63
B,8,7902.13,4.37
,,,